,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
86,4347,1/1/1960,The Apartment,3000000,24600000,"$18,600,000"
87,4357,1/1/1960,Elmer Gantry,3000000,10400000,"$10,400,000"
88,3151,7/10/1960,Spartacus,12000000,60000000,"$30,000,000"
89,3185,10/24/1960,The Alamo,12000000,7900000,"$7,900,000"
90,4189,1/1/1961,The Misfits,4000000,8200000,"$8,200,000"
91,4359,1/1/1961,Judgment at Nuremberg,3000000,10000000,"$10,000,000"
92,4436,1/1/1961,Pocketful of Miracles,2900000,5000000,"$5,000,000"
93,4558,9/25/1961,The Hustler,2000000,7600000,"$7,600,000"
94,3834,10/18/1961,West Side Story,6000000,43700000,"$43,700,000"
95,4322,1/1/1962,The Man Who Shot Liberty Valance,3200000,8000000,"$8,000,000"
96,4555,1/1/1962,Lolita,2000000,9250000,"$9,250,000"
97,3320,4/10/1962,The Longest Day,10000000,50100000,"$39,100,000"
98,2546,8/11/1962,Mutiny on The Bounty,19000000,13680000,"$13,680,000"
99,4122,9/3/1962,State Fair,4500000,3500000,"$3,500,000"
100,2827,12/16/1962,Lawrence of Arabia,15000000,69995385,"$37,495,385"
101,4550,12/25/1962,To Kill A Mockingbird,2000000,13129846,"$13,129,846"
102,2698,1/1/1963,55 Days at Peking,17000000,10000000,"$10,000,000"
103,4454,1/1/1963,Donovan's Reef,2686000,6600000,"$6,600,000"
104,4478,5/29/1963,Hud,2500000,10000000,"$10,000,000"
105,4842,7/10/1963,Tom Jones,1000000,37600000,"$37,600,000"
106,3501,7/11/1963,It's a Mad Mad Mad Mad World,9400000,60000000,"$46,300,000"
107,4849,8/5/1963,Dr. No,1000000,59567035,"$16,067,035"
108,4181,8/8/1963,The Great Escape,4000000,11744471,"$11,744,471"
109,1253,12/6/1963,Cleopatra,42000000,71000000,"$57,000,000"
110,2552,1/1/1964,The Fall of the Roman Empire,19000000,4750000,"$4,750,000"
111,4664,1/29/1964,Dr. Strangelove,1800000,9164370,"$9,164,370"
112,4543,8/4/1964,From Russia With Love,2000000,78900000,"$24,800,000"
113,3832,8/26/1964,Mary Poppins,6000000,102300000,"$102,300,000"
114,2670,10/22/1964,My Fair Lady,17000000,72070955,"$72,000,000"
115,5040,11/8/1964,A Hard Day's Night,560000,1597233,"$1,537,860"
116,4334,12/22/1964,Goldfinger,3000000,124900000,"$51,100,000"
117,3594,2/3/1965,The Sound of Music,8200000,286214286,"$163,214,286"
118,2425,2/15/1965,The Greatest Story Ever Told,20000000,15473333,"$15,473,333"
119,3907,7/3/1965,The Train,5800000,6800000,"$6,800,000"
120,4254,7/4/1965,Major Dundee,3800000,14873,"$14,873"
121,3241,12/22/1965,Doctor Zhivago,11000000,111859493,"$111,721,000"
122,3514,12/29/1965,Thunderball,9000000,141200000,"$63,600,000"
123,4276,2/23/1966,Harper,3500000,12000000,"$12,000,000"
124,4354,7/16/1966,Torn Curtain,3000000,13000000,"$13,000,000"
125,2831,10/10/1966,Hawaii,15000000,34562222,"$34,562,222"
126,4249,12/12/1966,A Man for All Seasons,3900000,28350000,"$28,350,000"
127,4273,1/1/1967,In Cold Blood,3500000,13007551,"$13,000,000"
128,5232,1/18/1967,Per un pugno di dollari,200000,3500000,"$3,500,000"
129,4546,2/8/1967,In the Heat of the Night,2000000,24391108,"$24,379,978"
130,3159,4/28/1967,Casino Royale,12000000,41744718,"$22,744,718"
131,3496,6/13/1967,You Only Live Twice,9500000,111600000,"$43,100,000"
132,5029,10/5/1967,Per qualche dollaro in più,600000,4300000,"$4,300,000"
133,4799,12/29/1967,"Il buono, il brutto, il cattivo",1200000,6100000,"$6,100,000"
134,4757,1/1/1968,Shalako,1455000,2620000,"$2,620,000"
135,5292,1/10/1968,Night of the Living Dead,114000,30000000,"$12,000,000"
136,3295,2/4/1968,2001: A Space Odyssey,10500000,68700000,"$56,700,000"
137,4667,3/8/1968,Hang 'em High,1800000,6800000,"$6,800,000"
138,5008,6/25/1968,La mariée était en noir ,747000,44566,"$44,566"
139,3906,8/2/1968,The Planet of the Apes,5800000,33395426,"$33,395,426"
140,3559,10/10/1968,Barbarella,9000000,0,$0
141,3323,11/12/1968,Oliver!,10000000,37402877,"$37,402,877"
142,4321,12/6/1968,Rosemary's Baby,3200000,33395426,"$33,395,426"
143,2465,1/1/1969,Sweet Charity,20000000,8000000,"$8,000,000"
144,4263,5/25/1969,Midnight Cowboy,3600000,44785053,"$44,785,053"
145,4032,5/28/1969,C'era una volta il West,5000000,5321508,"$5,321,508"
146,3883,6/18/1969,The Wild Bunch,6000000,509424,"$509,424"
147,5228,7/25/1969,The Stewardesses,200000,25000000,"$13,500,000"
148,2375,10/15/1969,Paint Your Wagon,20000000,31678778,"$31,678,778"
149,3831,10/24/1969,Butch Cassidy and the Sundance Kid,6000000,102308900,"$102,308,900"
150,2175,12/16/1969,"Hello, Dolly",24000000,33208099,"$33,208,099"
151,3613,12/18/1969,On Her Majesty's Secret Service,8000000,82000000,"$22,800,000"
152,4195,12/19/1969,Topaz,4000000,6000000,"$6,000,000"
153,2159,1/1/1970,Waterloo,25000000,0,$0
154,2270,1/1/1970,Darling Lili,22000000,5000000,"$5,000,000"
155,3136,1/1/1970,Patton,12000000,62500000,"$62,500,000"
156,3277,1/1/1970,The Molly Maguires,11000000,2200000,"$2,200,000"
