,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
854,3607,3/4/1996,A Thin Line Between Love & Hate,8000000,34873513,"$34,873,513"
855,2853,3/5/1996,The Craft,15000000,55669466,"$24,769,466"
856,3634,3/5/1996,The Pallbearer,8000000,5656388,"$5,656,388"
857,936,3/15/1996,Executive Decision,55000000,122079192,"$56,679,192"
858,3194,3/22/1996,Girl 6,12000000,4880941,"$4,880,941"
859,3732,3/22/1996,Flirting with Disaster,7000000,16149180,"$14,853,474"
860,1440,3/29/1996,Sgt. Bilko,39000000,37956589,"$30,356,589"
861,1210,4/10/1996,The Glimmer Man,45000000,36404841,"$20,404,841"
862,3417,4/10/1996,Crash,10000000,3357324,"$3,357,324"
863,4120,4/10/1996,Bound,4500000,7011317,"$3,802,260"
864,4473,4/10/1996,That Thing You Do!,2500000,34557416,"$25,857,416"
865,1625,4/19/1996,Le hussard sur le toit,35000000,1320043,"$1,320,043"
866,2129,4/19/1996,Mrs. Winterbourne,25000000,10039566,"$10,039,566"
867,3080,5/4/1996,Faithful,13000000,2104439,"$2,104,439"
868,1663,5/7/1996,Phenomenon,32000000,152036382,"$104,636,382"
869,2003,5/17/1996,Flipper,25530000,30593313,"$20,080,020"
870,488,5/21/1996,Mission: Impossible,80000000,457697994,"$180,981,886"
871,2593,5/24/1996,Spy Hard,18000000,26936265,"$26,936,265"
872,899,5/31/1996,Dragonheart,57000000,104364680,"$51,364,680"
873,1686,6/9/1996,Bogus,32000000,4357406,"$4,357,406"
874,3516,6/11/1996,Set It Off,9000000,36049108,"$36,049,108"
875,541,6/12/1996,Daylight,80000000,158908290,"$32,908,290"
876,2452,6/12/1996,Everyone Says I Love You,20000000,34600000,"$9,725,847"
877,1144,6/14/1996,The Cable Guy,47000000,102825796,"$60,240,295"
878,340,6/21/1996,Eraser,100000000,234400000,"$101,295,562"
879,341,6/21/1996,The Hunchback of Notre Dame,100000000,325500000,"$100,138,851"
880,4009,6/21/1996,Lone Star,5000000,12961389,"$12,961,389"
881,913,6/28/1996,The Nutty Professor,55000000,273814019,"$128,814,019"
882,1074,6/28/1996,Striptease,50000000,113309743,"$33,109,743"
883,583,7/6/1996,The Rock,75000000,336069511,"$134,069,511"
884,1214,7/6/1996,The Phantom,45000000,17220599,"$17,220,599"
885,1211,7/17/1996,Multiplicity,45000000,20133326,"$20,133,326"
886,4875,7/17/1996,Walking and Talking,1000000,1615787,"$1,287,480"
887,1818,7/19/1996,Fled,30000000,19892205,"$17,192,205"
888,4328,7/19/1996,Trainspotting,3100000,71558971,"$16,501,785"
889,1288,7/24/1996,A Time to Kill,40000000,152266007,"$108,766,007"
890,2083,7/26/1996,Kingpin,25000000,32223424,"$25,023,424"
891,2103,7/26/1996,The Adventures of Pinocchio,25000000,36682170,"$15,382,170"
892,4595,7/26/1996,Stonewall,2000000,304602,"$304,602"
893,3724,8/3/1996,Fargo,7000000,51204567,"$24,567,751"
894,641,8/11/1996,Ransom,70000000,308700000,"$136,492,681"
895,957,8/16/1996,The Fan,55000000,18582965,"$18,582,965"
896,1188,8/16/1996,Tin Cup,45000000,75854588,"$53,854,588"
897,2554,8/16/1996,Kansas City,19000000,1353824,"$1,353,824"
898,1377,8/23/1996,The Island of Dr. Moreau,40000000,27682712,"$27,682,712"
899,4278,8/23/1996,She's the One,3500000,13795053,"$9,482,579"
900,4399,8/23/1996,Freeway,3000000,295493,"$295,493"
901,726,9/2/1996,Broken Arrow,65000000,148345997,"$70,645,997"
902,1088,9/8/1996,Escape from L.A.,50000000,25426861,"$25,426,861"
903,1185,9/8/1996,Jack,45000000,58617334,"$58,617,334"
904,4386,9/8/1996,Basquiat,3000000,2962051,"$2,962,051"
905,2110,9/13/1996,Maximum Risk,25000000,51702929,"$14,102,929"
906,701,9/20/1996,Last Man Standing,67000000,18115927,"$18,115,927"
907,1720,9/20/1996,The First Wives Club,30000000,181489203,"$105,489,203"
908,5160,9/20/1996,When The Cat's Away,300000,2525984,"$1,652,472"
909,1465,9/27/1996,Extreme Measures,38000000,17378193,"$17,378,193"
910,4117,9/28/1996,Secrets & Lies,4500000,13417292,"$13,417,292"
911,434,10/5/1996,Twister,88000000,495700000,"$241,688,385"
912,4981,10/5/1996,Welcome to the Dollhouse,800000,5034794,"$4,198,137"
913,3054,10/7/1996,Harriet the Spy,13000000,26570048,"$26,570,048"
914,4509,10/16/1996,Get on the Bus,2400000,5691854,"$5,691,854"
915,1234,10/18/1996,Sleepers,44000000,165600852,"$53,300,852"
916,5231,10/18/1996,Swingers,200000,6618578,"$4,505,922"
917,2986,10/25/1996,Thinner,14000000,15171475,"$15,171,475"
918,742,11/10/1996,The Long Kiss Goodnight,65000000,33447612,"$33,447,612"
919,946,11/10/1996,The Ghost and the Darkness,55000000,38564422,"$38,564,422"
920,2122,11/10/1996,Michael Collins,25000000,27572844,"$11,092,559"
921,4770,11/10/1996,Trees Lounge,1300000,749741,"$749,741"
922,515,11/15/1996,Space Jam,80000000,250200000,"$90,463,534"
923,1257,11/15/1996,The Mirror Has Two Faces,42000000,41267469,"$41,267,469"
924,1525,11/15/1996,The English Patient,35000000,231711151,"$78,716,374"
925,4096,11/20/1996,Sling Blade,4833610,34175000,"$24,475,416"
926,814,11/22/1996,Jingle All the Way,60000000,129832389,"$60,592,389"
927,1154,11/22/1996,Star Trek: First Contact,46000000,150000000,"$92,027,888"
928,3924,11/22/1996,Shine,5500000,36665191,"$35,811,509"
929,2385,12/1/1996,Eye for an Eye,20000000,26792700,"$26,792,700"
930,1157,12/7/1996,Courage Under Fire,46000000,100833145,"$59,003,384"
931,3766,12/7/1996,Les Visiteurs,7000000,98754000,"$659,000"
932,537,12/13/1996,Mars Attacks!,80000000,101371017,"$37,771,017"
933,1006,12/13/1996,Jerry Maguire,50000000,274000000,"$153,952,592"
934,1501,12/20/1996,Ghosts of Mississippi,36000000,13052741,"$13,052,741"
935,2215,12/20/1996,Marvin's Room,23000000,12803305,"$12,803,305"
936,2282,12/20/1996,My Fellow Americans,21500000,22331846,"$22,331,846"
937,2796,12/20/1996,Scream,15000000,173046663,"$103,046,663"
938,3135,12/20/1996,Beavis and Butt-head Do America,12000000,63118386,"$63,118,386"
939,942,12/25/1996,Evita,55000000,151947179,"$50,047,179"
940,2631,12/25/1996,Hamlet,18000000,7129670,"$4,501,094"
941,2934,12/31/1996,Silent Trigger,15000000,76382,"$76,382"
942,395,1/7/1997,Men in Black,90000000,587790539,"$250,690,539"
943,4340,1/8/1997,Air Bud,3000000,27788649,"$24,646,936"
944,5357,1/8/1997,In the Company of Men,25000,2883661,"$2,883,661"
945,4057,1/17/1997,Albino Alligator,5000000,353480,"$353,480"
946,3647,1/24/1997,Prefontaine,8000000,590817,"$590,817"
947,1229,1/31/1997,Shadow Conspiracy,45000000,2154540,"$2,154,540"
948,4201,1/31/1997,Waiting for Guffman,4000000,2922988,"$2,922,988"
949,1495,2/5/1997,Breakdown,36000000,50159144,"$50,159,144"
950,1617,2/5/1997,Warriors of Virtue,35000000,6448817,"$6,448,817"
951,2579,2/5/1997,Austin Powers: International Man of Mystery,18000000,67683989,"$53,883,989"
952,1050,2/14/1997,Absolute Power,50000000,50068310,"$50,068,310"
953,1997,2/21/1997,Blood and Wine,26000000,1083350,"$1,083,350"
954,1548,2/28/1997,Donnie Brasco,35000000,65303052,"$41,954,997"
955,1622,2/28/1997,Smilla's Sense of Snow,35000000,2221994,"$2,221,994"
956,4376,2/28/1997,Kama Sutra,3000000,4109095,"$4,109,095"
957,1940,3/10/1997,Kiss the Girls,27000000,60527873,"$60,527,873"
958,3381,3/14/1997,Love Jones,10000000,12554569,"$12,554,569"
959,1159,3/21/1997,Liar Liar,45000000,302710615,"$181,410,615"
960,2363,3/21/1997,Selena,20000000,35450113,"$35,450,113"
961,428,3/26/1997,The Devil's Own,90000000,140900000,"$42,885,593"
962,1687,3/26/1997,Cats Don't Dance,32000000,3588602,"$3,588,602"
963,5194,3/28/1997,Love and Other Catastrophes,250000,743216,"$212,285"
964,423,4/4/1997,The Saint,90000000,169400000,"$61,363,304"
965,5186,4/4/1997,Chasing Amy,250000,15155095,"$12,006,514"
966,1268,4/18/1997,McHale's Navy,42000000,4408420,"$4,408,420"
967,4381,4/18/1997,8 Heads in a Duffel Bag,3000000,4002884,"$3,602,884"
968,427,4/25/1997,Volcano,90000000,120100000,"$47,546,796"
969,5166,5/3/1997,The Watermelon Woman,300000,42735,"$42,735"
970,3303,5/12/1997,Good Will Hunting,10000000,225933435,"$138,433,435"
971,576,5/22/1997,The Lost World: Jurassic Park,75000000,618638999,"$229,086,679"
972,509,6/6/1997,Con Air,80000000,224117573,"$101,117,573"
973,3173,6/8/1997,Def Jam's How To Be a Player,12000000,14010363,"$14,010,363"
974,304,6/13/1997,Speed 2: Cruise Control,110000000,150468000,"$48,097,081"
975,648,6/13/1997,Hercules,70000000,250700000,"$99,112,101"
976,4450,6/13/1997,Ulee's Gold,2700000,15600000,"$9,054,736"
977,248,6/20/1997,Batman & Robin,125000000,238317814,"$107,325,195"
978,1152,6/20/1997,My Best Friend's Wedding,46000000,298923419,"$126,813,153"
979,4231,6/20/1997,The Last Time I Committed Suicide,4000000,12836,"$12,836"
980,4888,6/20/1997,Dream With The Fishes,1000000,542909,"$542,909"
981,503,6/27/1997,Face/Off,80000000,241200000,"$112,276,146"
982,277,7/2/1997,Dante's Peak,115000000,178200000,"$67,163,857"
983,353,7/11/1997,Starship Troopers,100000000,121100000,"$54,768,952"
984,1106,7/11/1997,Mad City,50000000,10561038,"$10,561,038"
985,4000,7/11/1997,Eve's Bayou,5000000,14843425,"$14,843,425"
986,916,7/16/1997,George Of The Jungle,55000000,174463257,"$105,263,257"
987,2049,7/18/1997,Nothing To Lose,25000000,64594061,"$44,480,039"
988,443,7/25/1997,Air Force One,85000000,315268353,"$172,956,409"
989,1330,7/31/1997,Spawn,40000000,87949859,"$54,979,992"
990,520,8/8/1997,Conspiracy Theory,80000000,142783718,"$76,118,990"
991,669,8/10/1997,Seven Years in Tibet,70000000,131445884,"$37,945,884"
992,4266,8/13/1997,The Full Monty,3500000,257938649,"$45,950,122"
993,859,8/15/1997,Event Horizon,60000000,26673242,"$26,673,242"
994,2769,8/15/1997,Steel,16000000,1686429,"$1,686,429"
995,2817,8/15/1997,Cop Land,15000000,63706632,"$44,906,632"
996,1053,8/22/1997,G.I. Jane,50000000,48169156,"$48,169,156"
997,2053,8/22/1997,Money Talks,25000000,41076865,"$41,076,865"
998,5113,8/22/1997,Sunday,450000,450349,"$410,919"
999,1999,8/24/1997,The Grimm Brothers' Snow White,26000000,5000,"$5,000"
1000,377,9/5/1997,The Fifth Element,95000000,263900000,"$63,570,862"
1001,474,9/5/1997,Father's Day,85000000,35681080,"$28,681,080"
1002,1529,9/19/1997,L.A. Confidential,35000000,126204977,"$64,604,977"
1003,1531,9/19/1997,In & Out,35000000,83226569,"$63,826,569"
1004,1062,9/26/1997,The Peacemaker,50000000,62967368,"$41,263,140"
1005,2620,9/26/1997,The Ice Storm,18000000,16011975,"$8,038,061"
1006,3678,9/26/1997,Soul Food,7500000,43492389,"$43,492,389"
1007,848,10/1/1997,The Relic,60000000,33956608,"$33,956,608"
1008,961,10/1/1997,Turbulence,55000000,11532774,"$11,532,774"
1009,2850,10/10/1997,Boogie Nights,15000000,43111725,"$26,410,771"
1010,4038,10/10/1997,The Sweet Hereafter,5000000,7951247,"$4,306,697"
1011,897,10/17/1997,Devil's Advocate,57000000,153007424,"$61,007,424"
1012,2669,10/17/1997,I Know What You Did Last Summer,17000000,125250091,"$72,250,091"
1013,1502,10/24/1997,Gattaca,36000000,12532777,"$12,532,777"
1014,1470,10/31/1997,Switchback,38000000,6504442,"$6,504,442"
1015,3214,10/31/1997,Critical Care,12000000,220175,"$220,175"
1016,1181,11/4/1997,Anaconda,45000000,136998907,"$65,598,907"
1017,2847,11/4/1997,Grosse Pointe Blank,15000000,31070412,"$28,084,357"
1018,5372,11/4/1997,Pink Flamingos,12000,413802,"$413,802"
1019,407,11/7/1997,Contact,90000000,165900000,"$100,920,329"
1020,1923,11/7/1997,A Simple Wish,28000000,8165213,"$8,165,213"
1021,821,11/14/1997,The Jackal,60000000,159356941,"$54,956,941"
1022,980,11/14/1997,Anastasia,53000000,139801290,"$58,403,409"
1023,2432,11/14/1997,The Man Who Knew Too Little,20000000,13801755,"$13,801,755"
1024,1345,11/21/1997,The Rainmaker,40000000,45916769,"$45,916,769"
1025,1578,11/21/1997,Midnight in the Garden of Good and Evil,35000000,25078937,"$25,078,937"
1026,1785,11/21/1997,Mortal Kombat: Annihilation,30000000,51327406,"$35,927,406"
1027,513,11/26/1997,Flubber,80000000,177993801,"$92,993,801"
1028,830,11/26/1997,Alien: Resurrection,60000000,160700000,"$47,795,018"
1029,1052,12/9/1997,The Game,50000000,80369970,"$48,265,581"
1030,1347,12/12/1997,Amistad,40000000,58250151,"$44,212,592"
1031,2165,12/12/1997,Scream 2,24000000,101363301,"$101,363,301"
1032,2449,12/12/1997,Deconstructing Harry,20000000,10686841,"$10,686,841"
1033,3987,12/17/1997,The Apostle,5000000,21277770,"$20,733,485"
1034,37,12/19/1997,Titanic,200000000,2207615668,"$658,672,302"
1035,290,12/19/1997,Tomorrow Never Dies,110000000,339504276,"$125,304,276"
1036,1451,12/19/1997,Mouse Hunt,38000000,61894591,"$61,894,591"
1037,1008,12/24/1997,As Good as it Gets,50000000,314111923,"$148,478,011"
1038,550,12/25/1997,The Postman,80000000,20841123,"$17,650,704"
1039,1925,12/25/1997,Kundun,28000000,5686694,"$5,686,694"
1040,2818,12/25/1997,Wag the Dog,15000000,64252038,"$43,057,470"
1041,3139,12/25/1997,Jackie Brown,12000000,74727492,"$39,673,162"
1042,3112,12/31/1997,Oscar and Lucinda,12500000,1612957,"$1,612,957"
1043,2090,1/5/1998,He Got Game,25000000,22411948,"$21,567,853"
1044,4216,1/5/1998,Shooting Fish,4000000,302204,"$302,204"
1045,4518,1/5/1998,"Dancer, Texas Pop. 81",2300000,574838,"$574,838"
1046,182,1/7/1998,Armageddon,140000000,554600000,"$201,578,182"
1047,677,1/16/1998,Hard Rain,70000000,19870567,"$19,870,567"
1048,3621,1/16/1998,Half Baked,8000000,17394881,"$17,394,881"
1049,4456,1/16/1998,The Dress,2650000,16556,"$16,556"
1050,2077,1/23/1998,Spice World,25000000,56042592,"$29,342,592"
1051,1222,1/30/1998,Deep Rising,45000000,11203026,"$11,203,026"
1052,4048,1/30/1998,Zero Effect,5000000,2080693,"$2,080,693"
1053,530,2/10/1998,What Dreams May Come,80000000,71485043,"$55,485,043"
1054,792,2/10/1998,Antz,60000000,152457863,"$90,757,863"
1055,2685,2/10/1998,A Night at the Roxbury,17000000,30331165,"$30,331,165"
1056,621,2/13/1998,Sphere,73000000,50168294,"$37,068,294"
1057,1871,2/13/1998,The Borrowers,29000000,54045832,"$22,619,589"
1058,5065,2/13/1998,Hurricane Streets,500000,367582,"$334,041"
1059,5321,2/20/1998,I Love You … Don't Touch Me!,68000,33598,"$33,598"
1060,1951,2/27/1998,Dark City,27000000,27257061,"$14,435,076"
1061,3468,2/27/1998,An Alan Smithee Film: Burn Hollywood Burn,10000000,45779,"$45,779"
1062,524,3/4/1998,Lost In Space,80000000,136047317,"$69,117,629"
1063,849,3/4/1998,Mercury Rising,60000000,32983332,"$32,983,332"
1064,2885,3/4/1998,Barney's Great Adventure,15000000,11156471,"$11,156,471"
1065,3387,3/4/1998,The Spanish Prisoner,10000000,13835130,"$10,162,034"
1066,1537,3/13/1998,The Man in the Iron Mask,35000000,56968169,"$56,968,169"
1067,3771,3/13/1998,Chairman of the Board,7000000,306715,"$306,715"
1068,739,3/20/1998,Primary Colors,65000000,39017984,"$39,017,984"
1069,2380,3/20/1998,Wild Things,20000000,55576699,"$29,795,299"
1070,3234,3/20/1998,Madadayo,11900000,48856,"$48,856"
1071,3852,3/20/1998,Mr. Nice Guy,6000000,31716953,"$12,716,953"
1072,1956,3/27/1998,The Newton Boys,27000000,10341093,"$10,341,093"
1073,2192,3/27/1998,Meet the Deedles,24000000,4356126,"$4,356,126"
1074,2507,3/27/1998,"Couloirs du temps: Les visiteurs 2, Les",20000000,26146072,"$146,072"
1075,4062,3/27/1998,No Looking Back,5000000,143273,"$143,273"
1076,4128,3/27/1998,Karakter,4500000,713413,"$713,413"
1077,1606,4/9/1998,Knock Off,35000000,10319915,"$10,319,915"
1078,2398,4/12/1998,Psycho,20000000,37226218,"$21,541,218"
1079,3868,4/12/1998,Little Voice,6000000,21787233,"$4,595,000"
1080,4602,4/15/1998,24 7: Twenty Four Seven,2000000,72544,"$72,544"
1081,2845,4/17/1998,The Object of my Affection,15000000,29145924,"$29,145,924"
1082,3052,4/24/1998,The Big Hit,13000000,27066941,"$27,066,941"
1083,3854,4/24/1998,Sliding Doors,6000000,58809149,"$11,911,200"
1084,4871,4/24/1998,Two Girls and a Guy,1000000,2315026,"$2,057,193"
1085,780,5/6/1998,The Truman Show,60000000,264118201,"$125,618,201"
1086,2675,5/8/1998,Halloween: H2O,17000000,55041738,"$55,041,738"
1087,804,5/15/1998,The Horse Whisperer,60000000,186883563,"$75,383,563"
1088,1386,5/15/1998,Quest for Camelot,40000000,38172500,"$22,772,500"
1089,1799,5/15/1998,Bulworth,30000000,29203383,"$26,528,684"
1090,4591,5/15/1998,Clockwatchers,2000000,539961,"$537,948"
1091,245,5/19/1998,Godzilla,125000000,376000000,"$136,314,294"
1092,2561,5/22/1998,Fear and Loathing in Las Vegas,18500000,13711903,"$10,680,275"
1093,4277,5/27/1998,I Got the Hook-Up!,3500000,10317779,"$10,317,779"
1094,1746,5/29/1998,Hope Floats,30000000,81529000,"$60,110,313"
1095,1811,6/2/1998,The Replacement Killers,30000000,19035741,"$19,035,741"
1096,2427,6/3/1998,Twilight,20000000,15055091,"$15,055,091"
1097,2866,6/3/1998,The Big Lebowski,15000000,46189568,"$17,498,804"
1098,4160,6/3/1998,Love and Death on Long Island,4030000,2542264,"$2,542,264"
1099,666,6/11/1998,The Siege,70000000,116625798,"$40,934,175"
1100,2075,6/11/1998,Elizabeth,25000000,82150642,"$30,082,699"
1101,2197,6/11/1998,The Waterboy,23000000,190191646,"$161,491,646"
1102,3545,6/11/1998,Velvet Goldmine,9000000,4313644,"$1,053,788"
1103,4280,6/11/1998,Gods and Monsters,3500000,6451628,"$6,451,628"
1104,404,6/19/1998,Mulan,90000000,303500000,"$120,620,254"
1105,704,6/19/1998,The X Files: Fight the Future,66000000,189176423,"$83,898,313"
1106,5019,6/19/1998,Hav Plenty,650000,2301777,"$2,301,777"
1107,633,6/26/1998,Doctor Dolittle,71500000,294156605,"$144,156,605"
1108,1138,6/26/1998,Out of Sight,48000000,77562568,"$37,562,568"
1109,4561,6/26/1998,Smoke Signals,2000000,7756617,"$6,719,300"
1110,4721,6/26/1998,Buffalo '66,1500000,2380606,"$2,380,606"
1111,620,7/8/1998,Snake Eyes,73000000,103891409,"$55,591,409"
1112,4910,7/8/1998,Safe Men,1000000,21210,"$21,210"
1113,5171,7/8/1998,"First Love, Last Rites",300000,10876,"$10,876"
1114,2232,7/15/1998,There's Something About Mary,22000000,360099999,"$176,484,651"
1115,721,7/17/1998,The Mask of Zorro,65000000,233700000,"$93,828,745"
1116,967,7/22/1998,Lolita,55000000,1147784,"$1,147,784"
1117,706,7/24/1998,Saving Private Ryan,65000000,485035085,"$216,335,085"
1118,2865,7/24/1998,Disturbing Behavior,15000000,19014238,"$17,507,368"
1119,3361,7/24/1998,Jane Austen's Mafia,10000000,30143795,"$19,843,795"
1120,1058,7/29/1998,The Negotiator,50000000,49105766,"$44,705,766"
1121,1973,7/31/1998,Ever After: A Cinderella Story,26000000,65705772,"$65,705,772"
1122,3982,8/4/1998,The Players Club,5000000,23047939,"$23,047,939"
1123,495,8/5/1998,Deep Impact,80000000,349464664,"$140,464,664"
1124,3070,8/5/1998,Woo,13000000,8064972,"$8,064,972"
1125,862,8/14/1998,The Avengers,60000000,48585416,"$23,385,416"
1126,2356,8/14/1998,How Stella Got Her Groove Back,20000000,37672944,"$37,672,944"
1127,3451,8/14/1998,La femme de chambre du Titanic,10000000,244465,"$244,465"
1128,4031,8/14/1998,Slums of Beverly Hills,5000000,5502773,"$5,502,773"
1129,1177,8/21/1998,Blade,45000000,131237688,"$70,141,876"
1130,2987,8/21/1998,Dead Man on Campus,14000000,15064948,"$15,064,948"
1131,4865,8/21/1998,"Next Stop, Wonderland",1000000,3465703,"$3,395,581"
1132,3064,8/28/1998,54,13000000,16757163,"$16,757,163"
1133,5195,8/28/1998,I Married a Strange Person,250000,203134,"$203,134"
1134,2549,9/1/1998,Firestorm,19000000,8123860,"$8,123,860"
1135,871,9/10/1998,Holy Man,60000000,12069719,"$12,069,719"
1136,4769,9/10/1998,Festen,1300000,1647780,"$1,647,780"
1137,4878,9/10/1998,Slam,1000000,1087521,"$1,009,819"
1138,5300,9/10/1998,The Mighty,100000,6121582,"$2,652,246"
1139,1514,9/18/1998,Rush Hour,35000000,245300000,"$141,186,864"
1140,1802,9/18/1998,One True Thing,30000000,26708196,"$23,337,196"
1141,4598,9/18/1998,Six-String Samurai,2000000,134624,"$134,624"
1142,944,9/25/1998,Ronin,55000000,70692101,"$41,610,884"
1143,2970,9/25/1998,Urban Legend,14000000,72571864,"$38,116,707"
1144,3643,9/25/1998,Clay Pigeons,8000000,2256606,"$1,793,359"
1145,4909,9/25/1998,The Last Big Thing,1000000,22434,"$22,434"
1146,925,10/4/1998,City of Angels,55000000,198750909,"$78,750,909"
1147,186,10/7/1998,Lethal Weapon 4,140000000,285400000,"$130,444,603"
1148,1329,10/7/1998,Small Soldiers,40000000,71743823,"$55,143,823"
1149,5320,10/7/1998,Pi,68000,4678513,"$3,221,152"
1150,832,10/16/1998,Practical Magic,60000000,68336997,"$46,850,558"
1151,985,10/16/1998,Beloved,53000000,22852487,"$22,852,487"
1152,2070,10/16/1998,Bride of Chucky,25000000,50692188,"$32,404,188"
1153,4389,10/16/1998,Happiness,3000000,5746453,"$2,746,453"
1154,612,10/23/1998,Soldier,75000000,14623082,"$14,623,082"
1155,4884,10/23/1998,Orgazmo,1000000,627287,"$582,024"
1156,2402,10/30/1998,Vampires,20000000,20268825,"$20,268,825"
1157,3175,10/30/1998,Living Out Loud,12000000,12905901,"$12,905,901"
1158,3404,10/30/1998,American History X,10000000,6719864,"$6,719,864"
1159,2149,11/9/1998,Without Limits,25000000,780326,"$780,326"
1160,2412,11/9/1998,Simon Birch,20000000,18310591,"$18,253,415"
1161,3158,11/9/1998,Rounders,12000000,22921898,"$22,921,898"
1162,5162,11/9/1998,Let's Talk About Sex,300000,373615,"$373,615"
1163,5193,11/9/1998,Cube,250000,8969065,"$489,220"
1164,656,11/12/1998,Star Trek: Insurrection,70000000,117800000,"$70,187,658"
1165,1072,11/12/1998,Jack Frost,50000000,34645374,"$34,645,374"
1166,1969,11/12/1998,Shakespeare in Love,26000000,279500000,"$100,317,794"
1167,2693,11/12/1998,A Simple Plan,17000000,16316273,"$16,316,273"
1168,3367,11/12/1998,Rushmore,10000000,19080435,"$17,105,219"
1169,467,11/13/1998,Meet Joe Black,85000000,44650003,"$44,650,003"
1170,2174,11/13/1998,I Still Know What You Did Last Summer,24000000,40020622,"$40,020,622"
1171,453,11/20/1998,Enemy of the State,85000000,250649836,"$111,549,836"
1172,1160,11/20/1998,A Bug's Life,45000000,363095319,"$162,798,565"
1173,1884,11/20/1998,The Rugrats Movie,28000000,140894685,"$100,494,685"
1174,3191,11/20/1998,Celebrity,12000000,6200000,"$5,078,660"
1175,4339,11/20/1998,Waking Ned Devine,3000000,55193251,"$24,793,251"
1176,4435,11/20/1998,Central do Brasil,2900000,17006158,"$5,969,553"
1177,549,11/25/1998,Babe: Pig in the City,80000000,69131860,"$18,319,860"
1178,2887,11/25/1998,Home Fries,15000000,10513979,"$10,513,979"
1179,3389,11/25/1998,Very Bad Things,10000000,21094974,"$9,949,470"
1180,521,12/6/1998,"Six Days, Seven Nights",80000000,164800000,"$74,339,294"
1181,3069,12/6/1998,Dirty Work,13000000,10020081,"$10,020,081"
1182,3351,12/6/1998,Can't Hardly Wait,10000000,25358996,"$25,358,996"
1183,3654,12/6/1998,The Land Girls,8000000,146083,"$146,083"
1184,715,12/18/1998,You've Got Mail,65000000,250800000,"$115,821,495"
1185,788,12/18/1998,The Prince of Egypt,60000000,218613188,"$101,413,188"
1186,993,12/23/1998,The Thin Red Line,52000000,97709034,"$36,400,491"
1187,531,12/25/1998,Mighty Joe Young,80000000,50632037,"$50,632,037"
1188,818,12/25/1998,A Civil Action,60000000,56709981,"$56,709,981"
1189,1009,12/25/1998,Patch Adams,50000000,202173000,"$135,014,968"
1190,1020,12/25/1998,Stepmom,50000000,159745279,"$91,137,662"
1191,2823,12/25/1998,The Faculty,15000000,40283321,"$40,283,321"
1192,3450,12/25/1998,The Swindle,10000000,5045359,"$245,359"
1193,1638,1/9/1999,Chill Factor,34000000,11263966,"$11,263,966"
1194,3745,1/9/1999,Outside Providence,7000000,7824358,"$7,309,628"
1195,1131,1/10/1999,Three Kings,48000000,107752036,"$60,652,036"
1196,1921,1/10/1999,"Mystery, Alaska",28000000,8891623,"$8,891,623"
1197,2696,1/10/1999,The Adventures of Elmo in Grouchland,17000000,11634458,"$11,634,458"
1198,3619,1/10/1999,Drive Me Crazy,8000000,22591451,"$17,843,379"
1199,4689,1/10/1999,"Happy, Texas",1700000,2891228,"$2,039,192"
1200,613,1/15/1999,Virus,75000000,30626690,"$14,010,690"
1201,1388,1/15/1999,At First Sight,40000000,22365133,"$22,365,133"
1202,1830,1/15/1999,In Dreams,30000000,12017369,"$12,017,369"
1203,2729,1/15/1999,Varsity Blues,16000000,54294169,"$52,894,169"
1204,4702,1/15/1999,Mississippi Mermaid,1600000,2627795,"$27,795"
1205,1842,1/22/1999,Gloria,30000000,4967493,"$4,167,493"
1206,5259,1/22/1999,Bacheha-Ye aseman,180000,1628579,"$933,933"
1207,3310,1/29/1999,She's All That,10000000,63465522,"$63,465,522"
1208,1376,2/4/1999,The Out-of-Towners,40000000,28544120,"$28,544,120"
1209,5387,2/4/1999,Following,6000,240495,"$48,482"
1210,2258,2/7/1999,Summer of Sam,22000000,19288130,"$19,288,130"
1211,5033,2/7/1999,Broken Vessels,600000,85343,"$15,030"
1212,3385,2/19/1999,Office Space,10000000,12179708,"$10,827,813"
1213,4385,2/19/1999,Jawbreaker,3000000,3076820,"$3,076,820"
1214,1360,2/26/1999,8MM,40000000,96398826,"$36,443,442"
1215,3861,2/26/1999,200 Cigarettes,6000000,6852450,"$6,852,450"
1216,5322,2/26/1999,20 Dates,66000,602920,"$541,636"
1217,2218,3/12/1999,The End of the Affair,23000000,10660147,"$10,660,147"
1218,3202,3/19/1999,Ravenous,12000000,2062406,"$2,062,406"
1219,4919,3/19/1999,Sparkler,1000000,5494,"$5,494"
1220,864,3/26/1999,EDtv,60000000,35319689,"$22,508,689"
1221,3001,3/26/1999,A Walk on the Moon,14000000,4741987,"$4,741,987"
1222,3990,3/26/1999,Doug's 1st Movie,5000000,19421271,"$19,421,271"
1223,4226,3/26/1999,Among Giants,4000000,64359,"$64,359"
1224,711,3/31/1999,The Matrix,65000000,463517383,"$171,479,930"
1225,3048,3/31/1999,Ten Things I Hate About You,13000000,60414025,"$38,177,966"
1226,950,4/6/1999,Instinct,55000000,34105207,"$34,105,207"
1227,3589,4/6/1999,Limbo,8300000,2598224,"$2,160,710"
1228,4065,4/6/1999,Desert Blue,5000000,99147,"$99,147"
1229,1091,4/8/1999,The Iron Giant,50000000,31333917,"$23,159,305"
1230,3072,4/8/1999,Dick,13000000,6276869,"$6,276,869"
